step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,22,-1,out,2.0,0,-1,-120.0,True,1.1001,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,2,1,in,2.0,0,1,120.0,True,0.3248,0.3984,0.0
6,13,-1,in,2.0,0,-1,-120.0,True,8.2763,0.3984,0.0
7,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
8,14,-1,in,2.0,0,-1,-120.0,True,11.0778,0.3984,0.0
9,24,1,out,2.0,-1,0,0.0,True,0.3248,0.3984,0.0
10,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
11,24,-1,out,2.0,0,-1,-120.0,True,0.3223,0.3984,0.0
